time,open,close,high,low,vol,amount,market
1619661600.0,1.317418,1.319708,1.3263,1.30862,256061.24067529,337593.6608089349,ADAUSDT
1619668800.0,1.318183,1.327522,1.328816,1.292,514002.2969397,672544.3194907345,ADAUSDT
1619676000.0,1.327523,1.403901,1.409,1.321686,1156970.89309256,1589810.8657106867,ADAUSDT
1619683200.0,1.4039,1.385534,1.405,1.36838,800440.71938251,1110446.655223692,ADAUSDT
1619690400.0,1.385533,1.390173,1.412461,1.371669,733365.87641987,1022559.4306959608,ADAUSDT
1619697600.0,1.390001,1.355,1.396,1.353001,759779.59053175,1044540.7700476453,ADAUSDT
1619704800.0,1.3547,1.357541,1.377253,1.347301,552612.70621282,753217.8115379581,ADAUSDT
1619712000.0,1.357538,1.295339,1.360104,1.28097,1200533.95084693,1577884.9826877466,ADAUSDT
1619719200.0,1.293706,1.2985,1.312401,1.282,654691.20007102,849609.8344441435,ADAUSDT
1619726400.0,1.299498,1.309,1.309872,1.2661,653003.3181201,844179.3955539082,ADAUSDT
1619733600.0,1.308939,1.306266,1.319157,1.300748,315281.90859244,412837.23953443795,ADAUSDT
1619740800.0,1.306612,1.313459,1.32,1.288001,285787.93351888,371224.85388242226,ADAUSDT
1619748000.0,1.311718,1.313891,1.324381,1.301524,214921.57970738,281869.2089519651,ADAUSDT
1619755200.0,1.314067,1.360004,1.365852,1.314067,400896.25359844,538127.3864908012,ADAUSDT
1619762400.0,1.360004,1.346883,1.371462,1.336,539817.3984388,732424.3353534138,ADAUSDT
1619769600.0,1.346882,1.345319,1.362912,1.343605,390067.45217286,527472.975791905,ADAUSDT
1619776800.0,1.3469,1.326972,1.353998,1.323376,394754.69166068,528437.4312521465,ADAUSDT
1619784000.0,1.329376,1.350463,1.354977,1.326199,465939.0439485,624946.1721169562,ADAUSDT
1619791200.0,1.350644,1.3532,1.359316,1.340458,509757.87364997,688374.6629663303,ADAUSDT
1619798400.0,1.353623,1.356101,1.366954,1.348012,477652.14765391,648859.0788509183,ADAUSDT
1619805600.0,1.356199,1.357604,1.359965,1.346899,475427.8332119,643417.0877318322,ADAUSDT
1619812800.0,1.357102,1.346936,1.357835,1.34,406764.96606204,547491.148915955,ADAUSDT
1619820000.0,1.346936,1.3525,1.354,1.338691,323433.04826774,435463.9664331777,ADAUSDT
1619827200.0,1.3529,1.347479,1.3648,1.325331,318813.09446851,428934.6760541367,ADAUSDT
1619834400.0,1.34737,1.366281,1.368191,1.34206,373096.23849215,506619.08470467955,ADAUSDT
1619841600.0,1.365795,1.36,1.36819,1.35,353297.41372136,480014.5853195442,ADAUSDT
1619848800.0,1.359899,1.347099,1.360001,1.33999,306892.6305046,414557.0947189431,ADAUSDT
1619856000.0,1.346832,1.329001,1.3534,1.313615,469108.86142805,625812.4571135419,ADAUSDT
1619863200.0,1.329,1.341441,1.344226,1.323,349999.56507494,466864.51065212645,ADAUSDT
1619870400.0,1.341473,1.331484,1.345,1.328,319106.46377908,426743.40655240254,ADAUSDT
1619877600.0,1.331483,1.3323,1.334612,1.318,321552.10152366,426791.2799644016,ADAUSDT
1619884800.0,1.332499,1.329919,1.339587,1.325047,363542.39075759,484414.68671184167,ADAUSDT
1619892000.0,1.3304,1.332742,1.34,1.3297,236344.77045282,315327.81173390447,ADAUSDT
1619899200.0,1.332742,1.33,1.3389,1.33,284881.53641323,380228.27911712544,ADAUSDT
1619906400.0,1.33,1.352332,1.358999,1.328357,354679.66632156,476961.53179569694,ADAUSDT
1619913600.0,1.351455,1.338964,1.356341,1.332316,286873.39183775,384633.3591672928,ADAUSDT
1619920800.0,1.339083,1.30885,1.349398,1.30007,375664.90862896,499057.5777092427,ADAUSDT
