time,open,close,high,low,vol,amount,market
1611792000.0,1.7227,1.9436,2.0552,1.6924,55888.23723465,105263.6485675724,BNTUSDT
1611878400.0,1.9438,1.9001,1.9853,1.8441,54746.41822466,104393.0176970749,BNTUSDT
1611964800.0,1.9001,1.9242,1.9557,1.8449,42185.39770895,79821.23209310845,BNTUSDT
1612051200.0,1.9275,1.8768,1.9563,1.8449,33322.81275838,63595.87724410454,BNTUSDT
1612137600.0,1.8765,1.9611,1.9984,1.8308,35250.31274242,66808.18897740422,BNTUSDT
1612224000.0,1.9611,2.0465,2.0733,1.9611,40915.22021564,82436.27767798827,BNTUSDT
1612310400.0,2.0588,2.2094,2.3,1.9823,43961.92786739,90915.99482492401,BNTUSDT
1612396800.0,2.2038,2.2255,2.2999,2.1,50752.03795131,111345.56081194538,BNTUSDT
1612483200.0,2.2201,2.5729,2.7,2.2154,67354.82616535,164669.56752060607,BNTUSDT
1612569600.0,2.5754,2.4657,2.5955,2.3826,51144.37623296,126161.26824284866,BNTUSDT
1612656000.0,2.4559,2.4109,2.4855,2.2382,40076.70496614,95154.82606492974,BNTUSDT
1612742400.0,2.4109,2.6065,2.7578,2.3348,53044.23263172,134591.6426577851,BNTUSDT
1612828800.0,2.5938,2.8057,2.8662,2.5594,73422.53577139,195376.77701528987,BNTUSDT
1612915200.0,2.805,2.7669,2.9653,2.6251,57807.14652004,161514.42069014575,BNTUSDT
1613001600.0,2.7669,3.1799,3.1799,2.6852,70776.46420704,211213.12148486899,BNTUSDT
1613088000.0,3.1799,3.4815,3.6164,3.0957,73261.17848604,242437.32022560545,BNTUSDT
1613174400.0,3.4732,3.6453,3.6756,3.2909,75330.58708058,265051.45915575273,BNTUSDT
1613260800.0,3.6422,3.5311,3.7753,3.4363,54480.83857764,196141.44988537554,BNTUSDT
1613347200.0,3.518,3.4007,3.5417,2.9543,48363.69551013,163672.82752188086,BNTUSDT
1613433600.0,3.3994,3.657,3.6714,3.3358,59504.00349713,211718.7189854085,BNTUSDT
1613520000.0,3.6636,4.4486,4.475,3.5303,72306.80499909,283891.75543164986,BNTUSDT
1613606400.0,4.4536,5.9414,6.4091,4.4111,79208.85473381,413174.10061016394,BNTUSDT
1613692800.0,5.9478,5.46,6.1285,5.3,56815.70019459,319462.75488366035,BNTUSDT
1613779200.0,5.46,5.5103,5.7947,5.1112,65373.94456362,358883.9041722132,BNTUSDT
1613865600.0,5.5226,6.5646,6.8767,5.4486,68395.04397557,413062.003045663,BNTUSDT
1613952000.0,6.5651,6.3332,6.5878,4.8726,71088.80932253,433785.55847190873,BNTUSDT
1614038400.0,6.3332,5.4213,6.4206,4.7425,71068.34697028,386546.8560990764,BNTUSDT
1614124800.0,5.4371,5.6418,6.0149,5.2215,56649.71802912,324076.4408207027,BNTUSDT
1614211200.0,5.6576,4.9377,5.7628,4.9377,53657.84154565,292870.1353445891,BNTUSDT
1614297600.0,4.9535,4.9216,5.2323,4.5981,50268.17553196,248988.64361265092,BNTUSDT
1614384000.0,4.926,4.9816,5.2398,4.8955,35723.61955301,179553.4354663301,BNTUSDT
1614470400.0,4.9631,4.8122,4.998,4.412,44673.55662624,209551.05918234057,BNTUSDT
1614556800.0,4.8122,5.4469,5.5074,4.7841,41827.19838305,215691.44379830945,BNTUSDT
1614643200.0,5.4433,5.5465,5.7568,5.3234,38941.43554086,215697.46735207876,BNTUSDT
1614729600.0,5.5499,6.5306,6.86,5.4942,65796.67876847,409902.4178482387,BNTUSDT
1614816000.0,6.5361,6.8206,7.3316,6.4815,68638.45569103,466966.5213276502,BNTUSDT
1614902400.0,6.8141,7.2642,7.3125,6.2708,58999.73886533,393966.79281065083,BNTUSDT
1614988800.0,7.2848,8.4985,8.7425,7.2214,55753.72941045,440271.1169821927,BNTUSDT
1615075200.0,8.4997,8.45,8.872,7.9742,54085.84455672,456795.9911231061,BNTUSDT
1615161600.0,8.421,9.1699,9.2301,8.1012,45873.17474105,392226.2313096152,BNTUSDT
1615248000.0,9.1962,9.0913,9.3593,8.8782,41495.07570296,377541.3942509157,BNTUSDT
1615334400.0,9.0899,8.5777,9.1996,8.3602,36213.54141413,318289.958616911,BNTUSDT
1615420800.0,8.5759,8.347,8.6252,8.2349,35293.54134621,296713.4081510422,BNTUSDT
1615507200.0,8.3535,7.8234,8.3808,7.7394,37714.97467715,304100.9460892723,BNTUSDT
1615593600.0,7.8232,8.1822,8.3621,7.6274,35931.6904664,288116.6663858681,BNTUSDT
1615680000.0,8.2148,7.9134,8.2699,7.7997,30177.07903399,242869.24670551083,BNTUSDT
1615766400.0,7.8857,7.5908,8.2627,7.5235,35495.96952903,275197.7556420573,BNTUSDT
1615852800.0,7.6213,7.5418,7.7196,7.2284,26416.87881262,198466.98443913047,BNTUSDT
1615939200.0,7.5415,7.8588,7.8899,7.2621,39328.39359373,298197.95945867273,BNTUSDT
1616025600.0,7.8503,7.6987,8.1096,7.651,35313.20452788,276487.5574807839,BNTUSDT
1616112000.0,7.7093,8.1645,8.231,7.5409,31953.68551431,252488.5635118571,BNTUSDT
1616198400.0,8.1647,8.1717,8.6131,8.1645,41291.95377422,346903.6545511913,BNTUSDT
1616284800.0,8.1773,8.0205,8.3314,7.844,29352.60033472,235805.03983780777,BNTUSDT
1616371200.0,8.0295,7.4555,8.0936,7.3864,35156.88909573,277437.2548835781,BNTUSDT
1616457600.0,7.4304,7.3199,7.5954,7.2149,28071.59865104,208546.24013758654,BNTUSDT
1616544000.0,7.319,6.83,7.5885,6.6762,30062.76820313,219795.63658832517,BNTUSDT
1616630400.0,6.8244,6.7453,6.9483,6.6019,26519.62966642,180124.14228169623,BNTUSDT
