time,open,close,high,low,vol,amount,market
1619661600.0,54583.07,54267.7,54734.11,54093.0,7.53952469,410289.8781739678,BTCUSDT
1619668800.0,54246.7,53915.68,54246.71,53500.0,14.92593619,804039.2363346465,BTCUSDT
1619676000.0,53909.4,54440.0,54497.66,53856.3,6.83335516,371015.3979239192,BTCUSDT
1619683200.0,54450.0,54543.55,54731.94,53769.6,11.31403696,614328.98792393,BTCUSDT
1619690400.0,54536.61,54305.11,54687.66,54100.0,14.23499563,773418.7682689399,BTCUSDT
1619697600.0,54305.11,53621.37,54506.5,53571.87,30.99341796,1676782.3219520454,BTCUSDT
1619704800.0,53608.78,53709.91,53919.34,53300.0,31.99492977,1717781.170540467,BTCUSDT
1619712000.0,53712.31,52757.61,53816.26,52700.0,38.81057167,2061755.8141593966,BTCUSDT
1619719200.0,52732.4,52860.0,53042.14,52482.99,31.60837382,1668783.4548849843,BTCUSDT
1619726400.0,52873.56,53334.72,53359.19,52306.31,31.92005483,1688963.0901091697,BTCUSDT
1619733600.0,53334.73,53557.59,53651.86,53105.28,19.27704437,1028786.3560556805,BTCUSDT
1619740800.0,53564.53,53389.86,53814.84,53051.63,19.47848969,1040526.5550346673,BTCUSDT
1619748000.0,53396.0,53686.44,53757.49,53339.77,19.57259791,1048117.5283098286,BTCUSDT
1619755200.0,53685.4,54286.0,54299.99,53685.4,21.32985188,1153202.9636165306,BTCUSDT
1619762400.0,54282.03,54337.0,54542.45,54169.24,28.30425246,1538445.0474912538,BTCUSDT
1619769600.0,54337.0,54333.73,54773.85,54109.53,26.29108004,1432018.3054852735,BTCUSDT
1619776800.0,54339.22,54230.87,54479.64,54059.4,17.82113146,967821.5186971673,BTCUSDT
1619784000.0,54230.87,55974.0,56000.0,54186.29,37.0267394,2031586.3181552065,BTCUSDT
1619791200.0,55981.19,57158.62,57212.25,55743.89,55.99867131,3161718.6015224215,BTCUSDT
1619798400.0,57158.62,56519.8,57350.1,56280.08,40.18135997,2282828.327733236,BTCUSDT
