time,open,close,high,low,vol,amount,market
1611792000.0,96.53,102.72,105.5,94.83,23778.22661395,2406181.293569573,DASHUSDT
1611878400.0,102.72,104.55,110.05,101.12,34510.14944474,3626457.949794542,DASHUSDT
1611964800.0,104.55,105.22,106.97,100.53,22935.8320928,2372766.9356602654,DASHUSDT
1612051200.0,105.13,102.47,106.27,100.18,23798.62597331,2453374.028977359,DASHUSDT
1612137600.0,102.33,103.63,105.71,100.21,33511.88631851,3465383.2684754636,DASHUSDT
1612224000.0,103.51,109.91,110.84,103.17,27290.13458615,2911165.6925698207,DASHUSDT
1612310400.0,109.9,116.86,118.49,109.9,33808.80403128,3883028.325242464,DASHUSDT
1612396800.0,116.87,111.05,118.55,110.14,27299.77290518,3098180.643074709,DASHUSDT
1612483200.0,110.95,120.44,122.64,110.44,32146.03133127,3772762.5164235514,DASHUSDT
1612569600.0,120.44,119.17,122.85,113.34,26630.33052376,3166770.4944208725,DASHUSDT
1612656000.0,118.79,118.36,127.72,112.35,21691.76438169,2541003.4775209757,DASHUSDT
1612742400.0,118.24,126.26,126.51,114.78,27493.43202055,3304722.967573939,DASHUSDT
1612828800.0,126.39,137.37,137.91,124.16,30901.2883822,3983914.8214911274,DASHUSDT
1612915200.0,137.38,139.74,148.77,127.03,37179.19946272,5100404.878020872,DASHUSDT
1613001600.0,139.74,164.95,167.65,138.25,41348.28732096,6299648.466647197,DASHUSDT
1613088000.0,164.82,169.72,173.4,155.66,35251.63983867,5775547.77202745,DASHUSDT
1613174400.0,169.82,267.46,294.0,169.74,51490.76775504,11485859.058460893,DASHUSDT
1613260800.0,267.95,230.36,278.67,219.52,48635.28993813,11829209.484324992,DASHUSDT
1613347200.0,230.61,259.0,289.81,194.46,41129.3775353,10118366.47291524,DASHUSDT
1613433600.0,260.01,249.57,272.0,242.77,28644.12680045,7414095.854600032,DASHUSDT
1613520000.0,249.59,265.73,270.69,235.01,25707.47567364,6518810.886705955,DASHUSDT
1613606400.0,265.73,281.0,303.49,258.21,30418.72415164,8407694.459172709,DASHUSDT
1613692800.0,281.81,323.61,340.0,269.35,25608.08052194,7942056.135617866,DASHUSDT
1613779200.0,323.9,297.41,332.51,281.0,25475.01218013,8069309.153746547,DASHUSDT
1613865600.0,297.41,301.47,317.88,290.22,21439.37677417,6467055.258739262,DASHUSDT
1613952000.0,301.76,271.46,303.17,226.18,27797.7013453,7641881.46145768,DASHUSDT
1614038400.0,271.46,231.45,273.13,200.0,32349.87707462,7470175.581364448,DASHUSDT
1614124800.0,231.21,237.4,263.38,217.86,31515.10362946,7615597.963836687,DASHUSDT
1614211200.0,237.29,218.34,248.76,216.9,26578.55106701,6293987.073902211,DASHUSDT
1614297600.0,218.22,206.69,223.67,200.86,29068.90680826,6202698.368008491,DASHUSDT
1614384000.0,206.64,210.63,224.27,205.48,22186.31749605,4762249.948602014,DASHUSDT
1614470400.0,210.63,197.02,211.94,181.4,26847.92652631,5278447.467523251,DASHUSDT
1614556800.0,197.02,224.49,224.49,195.96,25030.67814752,5221042.238546566,DASHUSDT
1614643200.0,224.49,215.86,229.99,209.42,30376.65457923,6664896.884580633,DASHUSDT
1614729600.0,215.86,222.72,235.41,213.91,25062.37667533,5662445.790789217,DASHUSDT
1614816000.0,222.59,211.09,229.99,206.15,25555.791369,5574798.992885138,DASHUSDT
1614902400.0,211.23,205.63,211.66,196.13,25859.80238941,5273958.472979542,DASHUSDT
1614988800.0,205.69,208.41,210.83,200.53,16568.10951073,3423452.1648857836,DASHUSDT
1615075200.0,208.41,214.78,214.86,206.65,17652.08323885,3725160.197340612,DASHUSDT
1615161600.0,214.71,218.24,218.99,206.52,17938.82568992,3817759.3246115968,DASHUSDT
1615248000.0,218.23,244.24,245.99,214.82,22071.72763504,5090760.177826203,DASHUSDT
1615334400.0,244.25,234.28,249.98,225.88,24495.34084101,5834784.512520552,DASHUSDT
1615420800.0,234.32,235.34,243.99,225.17,23558.80553135,5536983.505012373,DASHUSDT
1615507200.0,235.35,224.7,239.49,209.59,23733.1631912,5390874.0421634335,DASHUSDT
1615593600.0,224.64,243.14,244.99,217.25,22459.74031871,5200676.536346234,DASHUSDT
1615680000.0,243.14,231.1,249.8,230.0,23911.53732921,5730857.79527169,DASHUSDT
1615766400.0,231.06,220.9,240.27,217.21,24550.43113709,5596934.818203937,DASHUSDT
1615852800.0,221.67,223.53,224.5,210.6,19976.1310188,4384584.2617126135,DASHUSDT
1615939200.0,223.53,229.36,231.0,216.7,21431.05688937,4805105.406892194,DASHUSDT
