time,open,close,high,low,vol,amount,market
1611792000.0,1.1761,1.2696,1.3417,1.1586,24865.53514523,31887.759915087663,KNCUSDT
1611878400.0,1.2762,1.2589,1.3062,1.232,25281.57576101,31994.668971048406,KNCUSDT
1611964800.0,1.2587,1.3674,1.3956,1.2166,27521.42441761,35262.26697996111,KNCUSDT
1612051200.0,1.3772,1.2969,1.4395,1.2686,24294.35515693,32556.81450062609,KNCUSDT
1612137600.0,1.2881,1.4013,1.4015,1.2575,24246.94859935,31781.695636363213,KNCUSDT
1612224000.0,1.4015,1.4212,1.5204,1.3652,25914.17606673,37105.28022306406,KNCUSDT
1612310400.0,1.4214,1.4924,1.5466,1.3884,25907.01822151,37889.577342548895,KNCUSDT
1612396800.0,1.4926,1.5765,1.7002,1.3838,32064.76007296,48060.32149236834,KNCUSDT
1612483200.0,1.5763,1.9955,2.3121,1.5722,43745.38853589,82420.09084580636,KNCUSDT
1612569600.0,2.0029,1.7789,2.0029,1.6837,26121.93984411,47413.42615173527,KNCUSDT
1612656000.0,1.7992,1.7515,1.8178,1.5777,20538.20773021,35087.8318107774,KNCUSDT
1612742400.0,1.7524,1.8309,1.9879,1.7185,34205.24952474,63636.234179145344,KNCUSDT
1612828800.0,1.8307,2.0021,2.1,1.79,37266.93677383,70239.2205427787,KNCUSDT
1612915200.0,2.0081,2.3449,2.49,1.9083,45416.22452782,98053.85956379087,KNCUSDT
1613001600.0,2.3451,2.3582,2.5999,2.2214,27818.4012821,65673.64180830863,KNCUSDT
1613088000.0,2.358,2.3801,2.4918,2.2579,31397.87172331,74624.07469718439,KNCUSDT
1613174400.0,2.3899,2.332,2.5155,2.098,29419.96512002,67991.18466626968,KNCUSDT
1613260800.0,2.3536,2.1228,2.3648,2.0409,26602.93375848,58873.56865601855,KNCUSDT
1613347200.0,2.1355,2.114,2.2672,1.7195,28272.2266225,57964.59262358363,KNCUSDT
1613433600.0,2.115,2.0385,2.1722,1.9546,25930.97043029,53696.22925662698,KNCUSDT
1613520000.0,2.0516,2.1232,2.1843,1.8907,24197.83685102,49665.51979860241,KNCUSDT
1613606400.0,2.1266,2.2259,2.2903,2.092,29223.87474728,63793.55318995497,KNCUSDT
1613692800.0,2.2241,2.1934,2.2716,2.0744,24717.15085187,54133.84886542659,KNCUSDT
1613779200.0,2.1936,2.0851,2.3508,1.9337,29802.15701583,65853.61973948024,KNCUSDT
1613865600.0,2.0849,2.1816,2.2564,2.0379,23344.6302026,50293.92537123639,KNCUSDT
1613952000.0,2.1817,1.98,2.1915,1.6473,27860.83085827,55083.178026773356,KNCUSDT
1614038400.0,1.9798,1.6028,1.9805,1.3755,25708.53791443,41901.03231886927,KNCUSDT
1614124800.0,1.603,1.6431,1.7491,1.517,26552.9815687,44033.35491241314,KNCUSDT
1614211200.0,1.6429,1.6164,1.9426,1.6152,24904.98964808,43062.58973066661,KNCUSDT
1614297600.0,1.6302,1.6189,1.7052,1.4656,24678.52306572,39495.45762981089,KNCUSDT
1614384000.0,1.6388,1.6826,1.789,1.614,27117.23083789,46185.22759569293,KNCUSDT
1614470400.0,1.6817,1.5654,1.694,1.4567,22863.84963548,35541.223700986324,KNCUSDT
1614556800.0,1.5648,1.6745,1.6936,1.562,30760.01742009,50017.09456745559,KNCUSDT
1614643200.0,1.682,1.6732,1.7501,1.5985,27788.79255838,46842.779638214495,KNCUSDT
1614729600.0,1.6647,1.8351,1.9176,1.6498,28725.49996313,51881.76337435305,KNCUSDT
1614816000.0,1.8281,2.0049,2.1004,1.7684,29478.95689371,56637.01440889636,KNCUSDT
