time,open,close,high,low,vol,amount,market
1611792000.0,122.44,133.22,135.83,120.76,70403.46660453,9097505.693310153,LTCUSDT
1611878400.0,133.27,134.74,145.36,131.48,70685.39079699,9728915.90367096,LTCUSDT
1611964800.0,134.74,133.36,136.27,128.01,75666.80393398,9985731.031547762,LTCUSDT
1612051200.0,133.35,129.42,135.01,125.71,66153.76326383,8618927.595351852,LTCUSDT
1612137600.0,129.4,132.05,136.59,126.0,72209.47911299,9450232.47285269,LTCUSDT
1612224000.0,132.02,142.0,145.82,131.93,82039.02252292,11455227.078726053,LTCUSDT
1612310400.0,141.99,155.93,156.65,141.98,74207.52313835,11269081.462379722,LTCUSDT
1612396800.0,155.95,145.11,158.67,141.22,76646.9998682,11466695.571812911,LTCUSDT
1612483200.0,145.07,154.96,156.8,143.6,82030.81218668,12445891.27868133,LTCUSDT
1612569600.0,154.99,155.51,164.0,150.01,59790.5805689,9527556.982707717,LTCUSDT
1612656000.0,155.87,150.78,157.0,145.27,48358.0367414,7309466.32277117,LTCUSDT
1612742400.0,150.72,167.39,169.24,147.77,69077.04209862,10797893.92361634,LTCUSDT
1612828800.0,167.44,181.41,184.2,164.42,63770.43131823,10885788.682246765,LTCUSDT
1612915200.0,181.63,181.54,194.86,169.0,63716.49536789,11749936.696317445,LTCUSDT
1613001600.0,181.58,183.6,193.39,175.85,58623.47409653,10827931.402490318,LTCUSDT
1613088000.0,183.91,196.55,199.52,176.74,57780.2980227,10833472.944251185,LTCUSDT
1613174400.0,197.01,225.98,228.99,191.72,55426.59701263,11544917.017047476,LTCUSDT
1613260800.0,225.97,213.57,230.49,208.0,49358.98874835,10836058.997206753,LTCUSDT
1613347200.0,213.54,207.82,219.9,185.39,47412.21019304,9823081.91550709,LTCUSDT
1613433600.0,208.15,210.39,222.23,200.09,51431.59558554,10887187.444649959,LTCUSDT
1613520000.0,210.34,237.33,237.49,203.43,47467.41068687,10516002.858477758,LTCUSDT
1613606400.0,237.3,226.58,238.92,221.01,50362.5224065,11564461.010977,LTCUSDT
