time,open,close,high,low,vol,amount,market
1620021600.0,273.79,275.85,277.49,273.79,1793.22051307,494497.2858034668,LTCUSDT
1620025200.0,275.83,278.96,280.0,275.2,1484.56376398,412152.8541993952,LTCUSDT
1620028800.0,278.98,279.77,282.0,278.0,1877.60044514,525284.6167202133,LTCUSDT
1620032400.0,279.78,277.86,280.06,276.35,1735.70863946,482998.7737859879,LTCUSDT
1620036000.0,278.33,279.98,280.33,277.85,2315.98878101,646064.4015819695,LTCUSDT
1620039600.0,279.91,280.12,282.7,279.59,2118.09653811,594783.0329999765,LTCUSDT
1620043200.0,280.24,279.31,281.94,278.35,1794.88079381,502513.206174169,LTCUSDT
1620046800.0,279.35,274.79,279.74,273.24,1577.31912111,437758.0162785942,LTCUSDT
1620050400.0,274.8,280.23,280.52,274.24,1772.96560755,492124.72947524,LTCUSDT
1620054000.0,279.95,282.79,284.9,279.7,2022.03823427,572308.2666554118,LTCUSDT
1620057600.0,282.61,291.11,294.59,280.07,2551.94450477,731679.7320260148,LTCUSDT
1620061200.0,291.27,296.43,298.15,290.44,2212.25886419,652744.728455744,LTCUSDT
1620064800.0,296.25,293.84,299.75,293.8,2180.04360834,646584.1242955584,LTCUSDT
1620068400.0,293.91,294.12,294.99,290.39,1808.36062861,529567.1456913422,LTCUSDT
1620072000.0,294.16,289.54,294.16,286.89,1959.27884627,569924.8011401469,LTCUSDT
1620075600.0,289.77,293.23,293.38,287.36,1985.19671839,576000.7614028207,LTCUSDT
1620079200.0,293.39,296.52,297.72,290.42,1887.87448682,553433.5789715624,LTCUSDT
1620082800.0,296.59,294.67,296.81,292.92,1888.96249948,557230.9930104631,LTCUSDT
1620086400.0,294.68,278.0,297.97,270.52,2961.9175854,846076.26104273,LTCUSDT
1620090000.0,277.75,281.86,284.48,276.28,1905.37799887,536538.2231674581,LTCUSDT
1620093600.0,281.71,277.68,284.16,275.31,2229.78397302,623897.9935648104,LTCUSDT
1620097200.0,277.07,276.66,280.83,274.8,2063.19002864,573540.7177385959,LTCUSDT
1620100800.0,275.95,283.93,284.67,275.2,1752.37868972,492589.0573994515,LTCUSDT
1620104400.0,284.05,283.49,286.93,282.06,1658.09736131,471392.2475760549,LTCUSDT
1620108000.0,283.67,286.91,289.06,283.67,1727.44183865,495089.1764165476,LTCUSDT
1620111600.0,286.91,282.74,288.63,282.35,1697.37737287,484814.9678695173,LTCUSDT
1620115200.0,282.92,287.79,287.79,279.51,2550.23336148,721088.9360870079,LTCUSDT
1620118800.0,287.84,308.22,312.99,287.4,3374.98580163,1025239.8196851733,LTCUSDT
1620122400.0,308.13,318.5,323.59,307.53,2841.61169989,901587.5024421284,LTCUSDT
1620126000.0,318.2,317.44,319.02,311.01,2583.0691991,814944.3517035085,LTCUSDT
1620129600.0,317.79,322.11,323.0,307.4,3233.47758518,1017100.1407895499,LTCUSDT
1620133200.0,321.99,322.39,327.43,313.71,2309.36817501,739819.6748229822,LTCUSDT
1620136800.0,322.53,305.51,325.48,294.01,5056.30695205,1555364.9570438927,LTCUSDT
1620140400.0,305.43,297.24,309.38,293.37,3350.05869025,1008828.3685187596,LTCUSDT
1620144000.0,297.46,299.79,306.33,292.64,3321.80220041,994676.1459997487,LTCUSDT
1620147600.0,299.5,307.32,307.32,298.88,2322.38269506,705048.8269695177,LTCUSDT
1620151200.0,307.39,306.16,308.5,302.09,1919.39881327,587247.6349564175,LTCUSDT
1620154800.0,306.12,307.03,310.0,303.25,2114.17456092,646681.4161991216,LTCUSDT
1620158400.0,307.25,315.39,316.67,303.74,1659.80109776,512631.9984201185,LTCUSDT
1620162000.0,315.43,309.35,318.0,308.62,1545.02991323,484317.2350083853,LTCUSDT
1620165600.0,309.4,311.09,311.37,302.78,1841.59351861,566240.9813145098,LTCUSDT
1620169200.0,311.13,305.29,316.46,303.0,1940.91534555,603308.9724744563,LTCUSDT
1620172800.0,305.13,324.76,327.39,300.54,2481.50526919,790729.9572902509,LTCUSDT
1620176400.0,325.68,333.85,341.99,325.68,2804.83783124,941248.169541778,LTCUSDT
1620180000.0,333.64,329.95,335.59,328.1,2118.88150266,703347.4995437586,LTCUSDT
1620183600.0,329.84,332.0,335.14,324.33,1825.73226546,600753.0998754147,LTCUSDT
1620187200.0,332.07,326.24,334.74,325.18,2025.32712688,666861.1171850878,LTCUSDT
1620190800.0,326.49,333.65,335.87,323.48,2780.29190489,921617.5481936923,LTCUSDT
1620194400.0,333.83,328.39,334.69,322.0,2341.4408632,767554.6149325869,LTCUSDT
1620198000.0,328.87,330.71,332.38,324.96,1840.20360613,605703.7355472469,LTCUSDT
1620201600.0,330.72,327.56,331.95,324.93,1718.74224976,563735.4798876056,LTCUSDT
1620205200.0,327.62,332.21,335.44,324.41,1891.3317539,623970.6550811329,LTCUSDT
1620208800.0,332.62,340.91,344.56,328.71,2614.3488733,883828.3100785189,LTCUSDT
1620212400.0,340.87,337.22,348.53,337.0,3199.78540185,1101937.8420254102,LTCUSDT
1620216000.0,337.26,343.27,344.94,335.45,2560.35947031,873124.8661985608,LTCUSDT
1620219600.0,343.26,347.65,352.77,342.42,2611.69366902,909159.8963497804,LTCUSDT
1620223200.0,347.63,342.7,348.3,339.02,1962.10106107,674343.9961731421,LTCUSDT
1620226800.0,342.35,351.84,354.34,341.64,2516.85045824,875483.434243183,LTCUSDT
1620230400.0,351.85,354.37,358.37,347.49,2538.59178113,894245.2874187484,LTCUSDT
1620234000.0,354.73,348.7,357.71,348.51,1560.50398063,550446.9872170138,LTCUSDT
1620237600.0,348.67,355.61,355.98,348.59,1919.77955365,674533.552062989,LTCUSDT
1620241200.0,355.57,359.34,359.46,352.47,1860.30273512,661274.5922414674,LTCUSDT
1620244800.0,358.63,347.44,359.83,346.0,2153.64052175,757914.1289488307,LTCUSDT
1620248400.0,347.3,352.19,354.0,343.75,1817.85573257,631544.0423793803,LTCUSDT
1620252000.0,352.55,350.36,358.99,350.05,1814.31187687,642617.1428681914,LTCUSDT
1620255600.0,350.7,356.17,358.56,347.5,1792.8692605,632044.6093754027,LTCUSDT
1620259200.0,356.2,347.87,364.95,343.91,2166.00632626,762989.8608340888,LTCUSDT
1620262800.0,347.36,341.98,347.87,336.08,1799.13796893,616416.7039685613,LTCUSDT
1620266400.0,341.98,347.21,348.53,339.37,1450.05608129,499366.6345243617,LTCUSDT
1620270000.0,347.12,342.23,347.12,340.52,1664.21146178,570726.5977036337,LTCUSDT
1620273600.0,342.22,338.63,346.46,337.0,1829.8732551,627172.7752236811,LTCUSDT
1620277200.0,338.75,338.13,340.98,335.76,2088.34861193,705633.9387451299,LTCUSDT
1620280800.0,337.89,328.72,337.89,328.0,3481.21981085,1157581.5203528425,LTCUSDT
1620284400.0,328.72,335.34,336.56,328.01,2137.95478355,713609.3017930108,LTCUSDT
1620288000.0,335.32,334.34,340.62,332.79,1929.83876606,649598.0534626379,LTCUSDT
1620291600.0,334.34,341.5,342.92,332.92,1850.17234524,624642.6584819496,LTCUSDT
1620295200.0,341.18,345.89,346.53,339.0,2121.15454775,727881.8943781842,LTCUSDT
1620298800.0,345.85,347.15,348.36,341.81,1971.02607959,680058.6564561905,LTCUSDT
1620302400.0,347.29,348.46,354.95,341.8,2362.82679148,820269.8350388003,LTCUSDT
1620306000.0,348.4,343.59,349.96,342.16,2122.78782528,733729.4378224037,LTCUSDT
1620309600.0,344.16,343.15,345.7,338.14,1963.27665063,672660.2784616153,LTCUSDT
1620313200.0,343.01,342.93,348.04,340.15,2191.42363292,753747.8177171318,LTCUSDT
1620316800.0,342.99,343.85,359.0,338.5,3385.42036075,1177901.66678142,LTCUSDT
1620320400.0,344.34,344.42,349.88,343.33,1467.62268442,508972.5571750633,LTCUSDT
1620324000.0,344.67,329.0,347.38,318.0,3256.33302096,1088429.1658543304,LTCUSDT
1620327600.0,328.0,334.53,336.72,323.61,2504.64558505,828094.4032359627,LTCUSDT
1620331200.0,334.47,328.98,335.05,325.39,2425.26435035,799388.8094324016,LTCUSDT
1620334800.0,328.99,338.93,339.0,328.99,1570.77957113,524895.9129487429,LTCUSDT
1620338400.0,338.93,343.36,343.99,336.09,1603.42145242,544682.5964065187,LTCUSDT
1620342000.0,343.43,354.6,359.37,343.43,2081.77260751,735336.168638742,LTCUSDT
1620345600.0,354.63,346.94,359.27,346.71,1938.08701619,682726.8139225122,LTCUSDT
1620349200.0,346.74,348.27,350.84,342.97,2093.44666554,726209.1642877897,LTCUSDT
1620352800.0,348.62,358.73,372.46,347.54,4823.99689871,1750998.7628587293,LTCUSDT
1620356400.0,359.09,351.51,365.21,345.24,2694.40687754,958403.077709286,LTCUSDT
1620360000.0,351.34,348.99,353.39,340.0,4025.07211753,1397544.099496051,LTCUSDT
1620363600.0,349.0,350.9,354.51,347.33,1528.33040735,536827.8298027787,LTCUSDT
1620367200.0,350.85,362.59,368.75,347.6,2924.26403307,1055581.5316313074,LTCUSDT
1620370800.0,362.83,368.09,372.39,356.99,2923.68221167,1072251.8478574592,LTCUSDT
1620374400.0,368.19,366.09,372.36,361.44,2459.10026163,899727.7504477341,LTCUSDT
1620378000.0,366.09,364.61,369.33,364.61,420.54314435,154091.1739817085,LTCUSDT
