time,open,close,high,low,vol,amount,market
1611792000.0,2.9034,3.8858,4.5501,2.8541,155150.88560645,598472.6331397279,NANOUSDT
1611878400.0,3.8987,3.874,4.4422,3.5667,99189.92641916,402072.1252917913,NANOUSDT
1611964800.0,3.8747,3.607,4.194,3.514,34115.80621532,129296.2983050979,NANOUSDT
1612051200.0,3.6079,3.4245,3.735,3.2901,19167.10505368,67596.4029205753,NANOUSDT
1612137600.0,3.424,3.5387,3.7002,3.2536,28670.46990378,99312.88204447091,NANOUSDT
1612224000.0,3.5381,3.5363,3.676,3.4387,19843.60720834,70201.24844304207,NANOUSDT
1612310400.0,3.5373,3.6146,3.7617,3.5151,16646.54687552,60069.38063593627,NANOUSDT
1612396800.0,3.6152,3.4545,3.6855,3.3,27886.75117485,98542.5520603451,NANOUSDT
1612483200.0,3.4572,3.7908,4.1975,3.4314,45767.85509014,173592.60006982292,NANOUSDT
1612569600.0,3.7728,3.6421,3.807,3.5058,22515.78513419,81585.65909363222,NANOUSDT
1612656000.0,3.669,3.5878,3.9129,3.3912,20934.90397805,75130.547955184,NANOUSDT
1612742400.0,3.5876,3.8097,3.8188,3.5694,31413.96936278,116619.31659833466,NANOUSDT
1612828800.0,3.8095,4.6316,4.9277,3.7336,93098.88299,400349.38884297595,NANOUSDT
1612915200.0,4.6312,4.5157,4.8577,4.0608,65188.6584611,283998.4724862532,NANOUSDT
1613001600.0,4.5153,5.9992,6.5,4.2786,122740.82791232,683123.8842670823,NANOUSDT
1613088000.0,5.999,6.8111,7.9065,5.9822,187794.13170312,1305808.6153598411,NANOUSDT
1613174400.0,6.7353,6.4983,6.9005,6.0067,32864.78970334,212159.6527811376,NANOUSDT
1613260800.0,6.517,5.8384,6.569,5.5835,41878.59996861,251604.59027276197,NANOUSDT
1613347200.0,5.8386,6.379,7.0,4.9499,70882.87818177,443425.6774327602,NANOUSDT
1613433600.0,6.3788,6.3909,6.934,6.1475,35433.94792175,231526.51354481868,NANOUSDT
1613520000.0,6.3911,6.4253,6.5649,5.9001,35342.34384742,222628.38202999256,NANOUSDT
1613606400.0,6.4251,7.4391,7.6497,6.4076,53343.62771146,376431.7702398427,NANOUSDT
1613692800.0,7.4389,7.241,7.5843,6.3,23728.82413594,168354.16278726357,NANOUSDT
1613779200.0,7.2399,6.8659,7.5593,6.6062,28521.65502704,205212.09374109085,NANOUSDT
1613865600.0,6.8644,6.8204,7.1853,6.6465,16965.44654728,117551.46128611843,NANOUSDT
1613952000.0,6.819,6.3058,6.819,4.9831,33295.81666888,202373.50127093832,NANOUSDT
1614038400.0,6.3173,5.1675,6.3667,4.1427,49793.87277077,253893.05793849652,NANOUSDT
1614124800.0,5.1672,5.7972,6.1599,4.8822,24489.54290194,137526.32976116295,NANOUSDT
1614211200.0,5.7976,5.149,6.0803,5.1069,34894.53779739,196813.90584272493,NANOUSDT
1614297600.0,5.1914,5.1718,5.491,4.7553,46690.56204584,239834.18033698102,NANOUSDT
1614384000.0,5.1726,5.1347,5.4546,4.9911,19140.23660958,100787.84143227409,NANOUSDT
1614470400.0,5.1349,4.9427,5.1659,4.6496,23653.80181614,115024.6462093284,NANOUSDT
1614556800.0,4.9434,5.3333,5.3717,4.9434,23999.62943702,123095.36757839566,NANOUSDT
1614643200.0,5.3318,5.0869,5.37,4.9288,24367.31384177,126020.82704113037,NANOUSDT
1614729600.0,5.0891,5.4022,5.7169,5.0148,26255.48757228,142283.84543246895,NANOUSDT
1614816000.0,5.4004,5.1304,5.6725,4.9188,22621.10041467,118961.80368855172,NANOUSDT
1614902400.0,5.1299,5.1424,5.3829,4.812,17603.37818629,90719.55330646761,NANOUSDT
1614988800.0,5.1414,5.1126,5.2244,5.0099,13341.81388939,68156.68752207521,NANOUSDT
1615075200.0,5.1142,5.1965,5.3331,5.0955,16295.9127712,84848.48528967256,NANOUSDT
