time,open,close,high,low,vol,amount,market
1611792000.0,0.536,0.5606,0.573,0.5307,215284.931162,119993.09373837191,ONTUSDT
1611878400.0,0.5603,0.5784,0.6425,0.5524,505926.02294867,298725.632678196,ONTUSDT
1611964800.0,0.578,0.5877,0.6033,0.5644,282836.9421212,163656.3423544206,ONTUSDT
1612051200.0,0.5884,0.58,0.6062,0.5573,283128.52030712,164509.8080250798,ONTUSDT
1612137600.0,0.5798,0.5897,0.5992,0.5624,368645.6928065,214718.7559393948,ONTUSDT
1612224000.0,0.5896,0.6208,0.6288,0.5787,346215.46780274,208367.00880631938,ONTUSDT
1612310400.0,0.621,0.6308,0.6374,0.6023,326788.06041054,203499.11201338936,ONTUSDT
1612396800.0,0.6309,0.6053,0.635,0.5807,295150.31052573,179764.56583029206,ONTUSDT
1612483200.0,0.6063,0.6734,0.6802,0.6013,431062.6731731,279889.35446569056,ONTUSDT
1612569600.0,0.6736,0.6539,0.6865,0.635,406913.58174332,268540.6096394139,ONTUSDT
1612656000.0,0.6554,0.6927,0.696,0.6213,403085.95135612,265154.1478120508,ONTUSDT
1612742400.0,0.6938,0.7696,0.7935,0.6622,738351.3173332,543253.9881972376,ONTUSDT
1612828800.0,0.7705,0.8416,0.8596,0.753,657287.13279182,531000.8935614398,ONTUSDT
1612915200.0,0.845,0.91,0.9799,0.7681,860000.24660628,753647.3334401501,ONTUSDT
1613001600.0,0.9086,1.0368,1.1,0.8809,819574.06606568,834485.358566024,ONTUSDT
1613088000.0,1.0456,1.0892,1.162,1.024,625924.68151893,685703.7771537114,ONTUSDT
1613174400.0,1.0911,1.2908,1.3554,1.0889,845892.44869964,1032375.3590028918,ONTUSDT
1613260800.0,1.2947,1.164,1.37,1.1301,695450.41576781,869041.362564524,ONTUSDT
1613347200.0,1.1678,1.1582,1.279,0.8611,719643.84833021,815252.8274828861,ONTUSDT
1613433600.0,1.1575,1.1219,1.26,1.0693,518146.74747907,601185.9772335887,ONTUSDT
1613520000.0,1.1254,1.1518,1.1998,1.0401,434866.36896808,490222.7639609355,ONTUSDT
1613606400.0,1.1585,1.23,1.285,1.13,534056.00305181,640814.0876476149,ONTUSDT
1613692800.0,1.2329,1.2651,1.3,1.1624,479615.92787568,597347.7767552077,ONTUSDT
1613779200.0,1.2636,1.2305,1.4321,1.1206,609777.14551759,794333.9710572924,ONTUSDT
1613865600.0,1.2283,1.4122,1.59,1.1919,594063.73329955,848430.1806574774,ONTUSDT
1613952000.0,1.4164,1.1928,1.4322,0.9722,584722.11903881,724837.9262789023,ONTUSDT
1614038400.0,1.1998,0.9825,1.1998,0.8039,655270.41038997,644452.3390350026,ONTUSDT
1614124800.0,0.9841,1.0039,1.0899,0.923,624611.66192874,632745.9415539001,ONTUSDT
1614211200.0,1.0045,0.9397,1.0639,0.9351,579034.88476201,579227.7333486634,ONTUSDT
1614297600.0,0.9416,0.8974,0.9522,0.8357,593395.56179929,536996.193027897,ONTUSDT
1614384000.0,0.899,0.9146,0.9741,0.8879,423859.35490642,391829.52735297236,ONTUSDT
1614470400.0,0.9145,0.8449,0.9247,0.7823,419753.88783107,354432.17306693085,ONTUSDT
1614556800.0,0.8484,0.9169,0.9276,0.8379,461412.04684404,407895.1729889248,ONTUSDT
1614643200.0,0.9169,0.9199,0.9449,0.8625,453765.31901743,408798.1855765312,ONTUSDT
1614729600.0,0.9188,1.0311,1.0425,0.906,586326.64976517,576519.4546908727,ONTUSDT
1614816000.0,1.0294,0.9637,1.0698,0.9297,498052.28099928,495386.43778770865,ONTUSDT
1614902400.0,0.9634,1.0108,1.0179,0.8891,435240.49843093,410705.62412286375,ONTUSDT
1614988800.0,1.0142,1.0397,1.0968,0.9827,509198.23840589,531415.8242829278,ONTUSDT
1615075200.0,1.0421,1.049,1.0589,1.007,311238.18822987,322300.440254928,ONTUSDT
1615161600.0,1.0499,1.1312,1.1366,1.0073,382199.4326191,407967.9313493981,ONTUSDT
1615248000.0,1.1331,1.2136,1.2387,1.0951,418269.96134749,488997.59473850654,ONTUSDT
1615334400.0,1.2132,1.1415,1.2192,1.1,398460.25245706,456273.27261284617,ONTUSDT
