time,open,close,high,low,vol,amount,market
1619661600.0,1.6785,1.6774,1.6946,1.6536,6727.58959362,11290.52598754205,ONTUSDT
1619668800.0,1.6753,1.6757,1.6859,1.6296,10176.06156735,16777.808625117224,ONTUSDT
1619676000.0,1.6746,1.7183,1.7269,1.669,15758.28833464,26804.62188548233,ONTUSDT
1619683200.0,1.7183,1.7225,1.7259,1.6842,15479.39183247,26432.29206036879,ONTUSDT
1619690400.0,1.7259,1.7249,1.7431,1.7055,34340.08568478,59373.902520237396,ONTUSDT
1619697600.0,1.7249,1.689,1.7406,1.6871,31710.63535498,54243.65615300653,ONTUSDT
1619704800.0,1.6881,1.6961,1.7073,1.6725,13853.79659924,23412.609842644448,ONTUSDT
1619712000.0,1.6992,1.6267,1.6992,1.6204,28184.85238353,46438.08413899832,ONTUSDT
1619719200.0,1.6267,1.6354,1.6533,1.6134,19925.642159,32460.505697996163,ONTUSDT
1619726400.0,1.6353,1.6655,1.6655,1.605,9401.17698773,15358.71567300355,ONTUSDT
1619733600.0,1.6656,1.6826,1.6871,1.6607,7759.20228643,12953.886167904984,ONTUSDT
1619740800.0,1.6816,1.696,1.7111,1.6708,13633.99291358,23056.27787200874,ONTUSDT
1619748000.0,1.696,1.7018,1.7039,1.6799,4745.35628207,8038.867363424139,ONTUSDT
1619755200.0,1.7018,1.7101,1.715,1.693,10298.96648513,17537.434264842574,ONTUSDT
1619762400.0,1.7097,1.724,1.7311,1.7041,16581.02577402,28524.553096361746,ONTUSDT
1619769600.0,1.724,1.7446,1.7661,1.7109,22891.8635809,40095.102895606724,ONTUSDT
1619776800.0,1.7446,1.7143,1.7551,1.711,13081.24143556,22549.44455504169,ONTUSDT
1619784000.0,1.7145,1.7482,1.7547,1.7145,11513.24609651,20075.16480861238,ONTUSDT
1619791200.0,1.7501,1.7728,1.7835,1.7341,15765.69438018,27831.1430996384,ONTUSDT
1619798400.0,1.7762,1.7724,1.7958,1.7619,13228.29779404,23534.430285106628,ONTUSDT
1619805600.0,1.7724,1.7945,1.7978,1.7514,11660.14934604,20666.228770858947,ONTUSDT
1619812800.0,1.7951,1.827,1.8485,1.7678,42493.82647349,77306.51905047816,ONTUSDT
1619820000.0,1.8262,1.8377,1.8451,1.8235,8613.55491763,15804.281543763118,ONTUSDT
1619827200.0,1.8368,1.8468,1.86,1.8032,7925.22335179,14575.350730970293,ONTUSDT
1619834400.0,1.8467,1.8454,1.8688,1.8402,5684.47780693,10541.600170779355,ONTUSDT
1619841600.0,1.8462,1.8258,1.8513,1.8206,5608.13759504,10280.405828962625,ONTUSDT
1619848800.0,1.8257,1.8084,1.8399,1.8084,8101.82593327,14744.235728899195,ONTUSDT
1619856000.0,1.8084,1.7828,1.8289,1.7566,12709.33772299,22771.341022409797,ONTUSDT
1619863200.0,1.7803,1.8065,1.8167,1.7742,6989.21473546,12552.739961673062,ONTUSDT
1619870400.0,1.8088,1.78,1.8141,1.774,9298.30316954,16680.064272979456,ONTUSDT
1619877600.0,1.779,1.776,1.7869,1.7552,8005.60855712,14167.279264589508,ONTUSDT
1619884800.0,1.7761,1.7796,1.7955,1.7717,5051.46747442,9009.287963126862,ONTUSDT
1619892000.0,1.7796,1.7988,1.8149,1.7729,6874.66843658,12346.140405917558,ONTUSDT
1619899200.0,1.799,1.775,1.8278,1.7718,24360.14351537,43921.542316923245,ONTUSDT
