time,open,close,high,low,vol,amount,market
1620021600.0,0.219001,0.216758,0.22,0.2,421890.80187771,90078.86020187405,VETUSDT
1620025200.0,0.216756,0.219201,0.22073,0.215512,321672.07651152,70241.56028752877,VETUSDT
1620028800.0,0.219024,0.222,0.222,0.218322,206593.04726876,45435.48145115479,VETUSDT
1620032400.0,0.222,0.218349,0.222,0.2165,229990.57510336,50520.32716767278,VETUSDT
1620036000.0,0.218349,0.21871,0.220789,0.218113,202057.65445021,44276.3060018528,VETUSDT
1620039600.0,0.21871,0.2201,0.22058,0.218703,167413.62196814,36756.348494396385,VETUSDT
1620043200.0,0.22,0.218602,0.22058,0.218601,157141.02316957,34463.50736568889,VETUSDT
1620046800.0,0.219882,0.212141,0.219899,0.200399,471561.45274833,100538.2042997281,VETUSDT
1620050400.0,0.211009,0.21353,0.216117,0.211009,246083.06270365,52714.167109123904,VETUSDT
1620054000.0,0.213001,0.211999,0.215204,0.211999,208029.65392263,44460.519171194515,VETUSDT
1620057600.0,0.211998,0.2105,0.213499,0.209598,346927.42116466,73269.44711557249,VETUSDT
1620061200.0,0.210468,0.213421,0.215,0.21,293779.21839304,62161.993806457154,VETUSDT
1620064800.0,0.212661,0.21181,0.214,0.21181,187961.60559937,40013.4132476071,VETUSDT
1620068400.0,0.211257,0.213216,0.215,0.21,264664.1420372,56161.0343135346,VETUSDT
1620072000.0,0.213216,0.209356,0.214,0.208,310567.70452146,65548.38400591027,VETUSDT
1620075600.0,0.209356,0.210312,0.210522,0.202299,265757.08649325,55155.68499426117,VETUSDT
1620079200.0,0.210312,0.212099,0.212727,0.206455,264730.2308251,55451.198407177006,VETUSDT
1620082800.0,0.21248,0.210845,0.21248,0.20957,157441.131296,33184.78812073262,VETUSDT
1620086400.0,0.211345,0.19435,0.211345,0.190115,627377.9508898,124689.42073871542,VETUSDT
1620090000.0,0.194045,0.202232,0.204092,0.192661,184604.63736727,36928.53297261311,VETUSDT
1620093600.0,0.201978,0.197748,0.202638,0.19591,120485.8609479,24059.116651083357,VETUSDT
1620097200.0,0.197201,0.197103,0.200899,0.195529,194496.07188312,38519.53001595779,VETUSDT
1620100800.0,0.196861,0.20095,0.202005,0.195905,225691.59256879,45289.64503786081,VETUSDT
1620104400.0,0.200951,0.201383,0.20287,0.199811,245784.87996431,49544.58209941915,VETUSDT
1620108000.0,0.2012,0.199887,0.202236,0.199171,153616.71562294,30902.429808211167,VETUSDT
1620111600.0,0.200261,0.197,0.20197,0.19639,211932.99544406,42253.052387859796,VETUSDT
1620115200.0,0.197036,0.198542,0.198542,0.193,335158.83839793,65719.91655889749,VETUSDT
1620118800.0,0.198899,0.2,0.201999,0.198899,252582.37458111,50725.908451352756,VETUSDT
1620122400.0,0.199999,0.202701,0.203131,0.19983,322210.25920055,65151.01708279568,VETUSDT
1620126000.0,0.202619,0.199453,0.20327,0.19888,274288.43698146,55041.23789924142,VETUSDT
1620129600.0,0.199502,0.197549,0.201,0.195,575891.86591745,113614.6769878644,VETUSDT
1620133200.0,0.197521,0.1933,0.19924,0.192339,516380.39521948,101190.7888872761,VETUSDT
1620136800.0,0.193299,0.19,0.195214,0.185673,523595.42390119,100032.51062055567,VETUSDT
