time,open,close,high,low,vol,amount,market
1618790400.0,0.443892,0.345586,0.443892,0.3103,582294.63862812,202925.90207940852,WESTUSDT
1618876800.0,0.345588,0.305175,0.36,0.2793,300661.0454915,96168.38223533932,WESTUSDT
1618963200.0,0.305163,0.328964,0.3601,0.29722,338907.31519248,112504.60938466946,WESTUSDT
1619049600.0,0.32896,0.31971,0.35,0.301659,119617.47832336,38618.480756749836,WESTUSDT
1619136000.0,0.319678,0.352703,0.4,0.21,429342.17058082,142571.00674112258,WESTUSDT
1619222400.0,0.35271,0.327309,0.3655,0.323949,100406.3280941,34887.89679509102,WESTUSDT
1619308800.0,0.327307,0.31487,0.3356,0.3065,115695.54539914,37220.59261326782,WESTUSDT
1619395200.0,0.314796,0.32973,0.343775,0.314662,94942.03402273,31521.49963704146,WESTUSDT
1619481600.0,0.329712,0.383316,0.395022,0.328564,207841.61796881,74277.66274214859,WESTUSDT
1619568000.0,0.383314,0.39348,0.40349,0.33976,352472.91293983,132302.13890374638,WESTUSDT
1619654400.0,0.393458,0.43747,0.45,0.388993,138573.04189239,58517.705721325605,WESTUSDT
1619740800.0,0.437472,0.435103,0.4536,0.410015,68469.00787832,29098.514265484733,WESTUSDT
1619827200.0,0.435105,0.405929,0.435634,0.387133,87640.0402397,35408.45828807233,WESTUSDT
1619913600.0,0.405931,0.449999,0.451111,0.392,72547.7198579,31086.23145036693,WESTUSDT
1620000000.0,0.449999,0.532389,0.589445,0.415,273175.63081233,140022.79531934025,WESTUSDT
1620086400.0,0.532325,0.63281,0.6938,0.493421,358707.20059213,220619.77088000672,WESTUSDT
1620172800.0,0.632741,0.733367,0.759925,0.5488,230036.42567056,149803.21945953058,WESTUSDT
1620259200.0,0.733429,0.695322,0.786504,0.625815,181645.79727647,129262.01745688413,WESTUSDT
1620345600.0,0.695253,0.681307,0.724903,0.654,26998.5475818,18802.60058391233,WESTUSDT
