time,open,close,high,low,vol,amount,market
1611792000.0,0.250513,0.26407,0.2699,0.24693,14213775.0027029,3677246.9544183793,XRPUSDT
1611878400.0,0.26417,0.28289,0.32,0.26,19126827.69910505,5386841.024972195,XRPUSDT
1611964800.0,0.28291,0.444,0.52,0.27813,28937649.44672588,10558523.764434895,XRPUSDT
1612051200.0,0.444999,0.49506,0.51,0.3845,23739911.86374128,10885827.91168669,XRPUSDT
1612137600.0,0.495001,0.371701,0.76,0.367146,31132938.88684584,16497286.324599795,XRPUSDT
1612224000.0,0.371701,0.37269,0.41321,0.3401,20034017.96865484,7525691.83814807,XRPUSDT
1612310400.0,0.37269,0.39721,0.419,0.372291,16988606.10754501,6560272.676191103,XRPUSDT
1612396800.0,0.397219,0.44483,0.48,0.38,21138784.75843601,8733574.071312565,XRPUSDT
1612483200.0,0.44546,0.452389,0.471999,0.42215,16899589.72462936,7531945.350992687,XRPUSDT
1612569600.0,0.452389,0.4435,0.457,0.426901,15031100.77711904,6614558.708553276,XRPUSDT
1612656000.0,0.445,0.418301,0.4507,0.390838,13958907.03293266,5936865.378220157,XRPUSDT
1612742400.0,0.41847,0.45128,0.469,0.412223,17721116.82593596,7716740.69936895,XRPUSDT
1612828800.0,0.45148,0.47608,0.494374,0.448801,17375866.52775325,8097423.997360867,XRPUSDT
1612915200.0,0.476079,0.50541,0.541,0.45,18688974.35583469,9310881.013476372,XRPUSDT
1613001600.0,0.50423,0.527909,0.535549,0.50027,15074837.39893073,7822588.216844017,XRPUSDT
1613088000.0,0.527909,0.60882,0.619999,0.51944,15544137.41173173,8870222.437550234,XRPUSDT
1613174400.0,0.61057,0.63292,0.64192,0.55,14735458.60608556,8987973.580909051,XRPUSDT
1613260800.0,0.63296,0.59219,0.642229,0.56171,12861349.6361128,7808597.7829020675,XRPUSDT
1613347200.0,0.59366,0.54956,0.60428,0.504301,12507208.97237866,7045964.241145767,XRPUSDT
1613433600.0,0.55036,0.51991,0.580128,0.473601,14578274.53740301,7859530.773159965,XRPUSDT
1613520000.0,0.51975,0.53497,0.557958,0.493892,14103472.57200455,7508356.0734310215,XRPUSDT
1613606400.0,0.53543,0.53208,0.559874,0.52,12668498.4915064,6840244.125027542,XRPUSDT
1613692800.0,0.53314,0.56431,0.584591,0.510001,11606832.52996341,6339001.077466569,XRPUSDT
1613779200.0,0.56481,0.51193,0.582,0.47,13534490.37756768,7443927.042596496,XRPUSDT
1613865600.0,0.51103,0.54449,0.56168,0.5037,14325135.69716987,7651106.118262752,XRPUSDT
1613952000.0,0.54446,0.5663,0.66,0.504679,22047298.80074793,12663261.900799904,XRPUSDT
1614038400.0,0.566683,0.47602,0.570999,0.35,18511678.06303393,8861333.689483102,XRPUSDT
1614124800.0,0.47601,0.46852,0.499898,0.4513,15751305.1585102,7535435.860090574,XRPUSDT
1614211200.0,0.4679,0.43567,0.48199,0.4253,14941204.1887279,6963791.0314151775,XRPUSDT
1614297600.0,0.43568,0.4279,0.45,0.41177,16087967.46965202,6960106.625187798,XRPUSDT
1614384000.0,0.4279,0.436,0.45865,0.42727,15308905.48187269,6759437.6896535,XRPUSDT
1614470400.0,0.43559,0.41546,0.439999,0.39289,16681604.01863091,6930228.346949458,XRPUSDT
1614556800.0,0.41558,0.445541,0.4538,0.41202,15028406.48160959,6464998.295058887,XRPUSDT
1614643200.0,0.44559,0.43566,0.455,0.421994,14185065.24015103,6214190.067442716,XRPUSDT
1614729600.0,0.43566,0.44849,0.46789,0.430001,13233937.10167551,5912989.740761628,XRPUSDT
1614816000.0,0.44844,0.48092,0.494881,0.4352,15777390.86408992,7232633.273141602,XRPUSDT
1614902400.0,0.48143,0.45465,0.4844,0.445343,13479427.16818367,6178285.686682002,XRPUSDT
1614988800.0,0.454891,0.46266,0.47034,0.45,12669652.76810495,5824878.086805162,XRPUSDT
1615075200.0,0.46268,0.4654,0.468799,0.457001,13786080.77945804,6387551.845528288,XRPUSDT
1615161600.0,0.46574,0.47426,0.489,0.454,13757296.74546341,6470638.141713626,XRPUSDT
1615248000.0,0.47426,0.485,0.486999,0.472,11543012.4566395,5533235.285536671,XRPUSDT
1615334400.0,0.48496,0.46151,0.4887,0.451001,13479591.62351814,6304049.101508291,XRPUSDT
1615420800.0,0.46168,0.45185,0.46443,0.44079,12096157.14129154,5483727.474710156,XRPUSDT
1615507200.0,0.4518,0.43957,0.464799,0.424,12295708.6136232,5503354.282840586,XRPUSDT
1615593600.0,0.43957,0.45788,0.4658,0.43217,12465165.98638766,5599503.32554136,XRPUSDT
1615680000.0,0.45806,0.43934,0.461543,0.43917,11813436.87710188,5321158.629266196,XRPUSDT
1615766400.0,0.43886,0.43537,0.448141,0.422998,11985397.4271141,5256474.040076107,XRPUSDT
1615852800.0,0.43597,0.46052,0.5252,0.427491,16420789.03759233,7699509.799796198,XRPUSDT
1615939200.0,0.46068,0.4698,0.48202,0.454,13718771.42559432,6399680.295012375,XRPUSDT
1616025600.0,0.46989,0.46898,0.49,0.46584,11914437.43056773,5643761.126286611,XRPUSDT
1616112000.0,0.46905,0.46643,0.474999,0.46,10769973.59884788,5056963.013449996,XRPUSDT
1616198400.0,0.46634,0.52575,0.55,0.46445,13321438.67651167,6628051.3144990355,XRPUSDT
1616284800.0,0.52584,0.51664,0.54652,0.495,13215101.09370446,6773539.067387423,XRPUSDT
1616371200.0,0.51661,0.54398,0.599899,0.50103,14897835.05268519,8239885.345697626,XRPUSDT
1616457600.0,0.54426,0.54909,0.596,0.5381,12759062.97557307,7211814.324486241,XRPUSDT
1616544000.0,0.54957,0.4818,0.562965,0.447899,12100942.77029211,6446522.584481202,XRPUSDT
1616630400.0,0.480002,0.510446,0.524444,0.46001,13148045.18516495,6514669.378252334,XRPUSDT
1616716800.0,0.51062,0.5633,0.576352,0.51049,10662012.71191703,5800406.109739967,XRPUSDT
1616803200.0,0.563376,0.5474,0.57401,0.53393,9307379.84651207,5152063.099040122,XRPUSDT
